conversion_id,click_id,user_id,order_id,timestamp,product_asin,product_title,product_category,order_value,commission_rate,commission_earned,quantity_purchased,conversion_time_hours,customer_type,payment_method,shipping_method,order_status,return_status,customer_lifetime_value,previous_orders_count
CONV125,CLK169,USR10169,ORD2024230005,2024-01-23 21:45:33,B08ABC890,Bissell CrossWave Pet Pro,Home & Garden,249.99,0.025,6.25,1,5.00,New,Credit Card,Standard,Delivered,None,249.99,0
CONV126,CLK171,USR10171,ORD2024240001,2024-01-24 11:30:45,B09GHI456,Razer DeathAdder V3 Gaming Mouse,Electronics,99.99,0.03,3.00,1,3.13,New,Credit Card,Prime,Delivered,None,99.99,0
CONV127,CLK173,USR10173,ORD2024240002,2024-01-24 14:22:33,B07MNO012,Logitech MX Master 3 Mouse,Electronics,99.99,0.03,3.00,1,3.87,New,PayPal,Standard,Delivered,None,99.99,0
CONV128,CLK175,USR10175,ORD2024240003,2024-01-24 16:45:15,B08STU678,Webcam 1080P HD,Electronics,69.99,0.03,2.10,1,4.95,New,Credit Card,Express,Delivered,None,69.99,0
CONV129,CLK177,USR10177,ORD2024240004,2024-01-24 18:30:44,B09YZA234,Ring Alarm 8-piece Kit,Home Security,199.99,0.02,4.00,1,4.08,New,Credit Card,Standard,Delivered,None,199.99,0
CONV130,CLK179,USR10179,ORD2024240005,2024-01-24 20:22:18,B07DEF890,Arlo Pro 4 Security Camera,Home Security,199.99,0.02,4.00,1,4.07,New,Amazon Pay,Prime,Delivered,None,199.99,0
CONV131,CLK181,USR10181,ORD2024250001,2024-01-25 12:45:22,B08JKL456,Waterpik Water Flosser,Health & Personal Care,79.99,0.03,2.40,1,4.50,New,Credit Card,Standard,Delivered,None,79.99,0
CONV132,CLK183,USR10183,ORD2024250002,2024-01-25 15:30:15,B09PQR012,Herman Miller Aeron Chair,Furniture,1395.00,0.015,20.93,1,4.70,New,Credit Card,White Glove,Delivered,None,1395.00,0
CONV133,CLK185,USR10185,ORD2024250003,2024-01-25 17:22:44,B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Electronics,49.99,0.04,2.00,2,4.67,Returning,Credit Card,Prime,Delivered,None,99.98,1
CONV134,CLK187,USR10187,ORD2024250004,2024-01-25 19:45:33,B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Kitchen,79.95,0.03,2.40,1,5.33,Returning,PayPal,Standard,Delivered,None,159.90,1
CONV135,CLK189,USR10189,ORD2024250005,2024-01-25 21:30:18,B09MNOP345,Ninja Foodi Personal Blender,Kitchen,79.99,0.03,2.40,1,4.78,Returning,Credit Card,Express,Delivered,None,239.97,2
CONV136,CLK191,USR10191,ORD2024260001,2024-01-26 12:22:33,B07TUVW901,Fitbit Charge 5 Fitness Tracker,Health & Fitness,149.95,0.025,3.75,1,3.67,New,Debit Card,Prime,Delivered,None,149.95,0
CONV137,CLK193,USR10193,ORD2024260002,2024-01-26 15:45:44,B08ABC567,Keurig K-Mini Coffee Maker,Kitchen,59.99,0.03,1.80,1,5.45,New,Credit Card,Standard,Delivered,None,59.99,0
CONV138,CLK195,USR10195,ORD2024260003,2024-01-26 17:30:22,B09GHI123,Shark Navigator Lift-Away Vacuum,Home & Garden,179.99,0.025,4.50,1,4.70,New,PayPal,Standard,Delivered,None,179.99,0
CONV139,CLK197,USR10197,ORD2024260004,2024-01-26 19:22:15,B07MNO789,Cuisinart Air Fryer Toaster Oven,Kitchen,199.95,0.03,6.00,1,4.95,New,Credit Card,Express,Delivered,None,199.95,0
CONV140,CLK199,USR10199,ORD2024260005,2024-01-26 21:45:33,B08STU345,Dyson V8 Cordless Vacuum,Home & Garden,349.99,0.025,8.75,1,5.45,New,Credit Card,White Glove,Delivered,None,349.99,0
CONV141,,USR10201,ORD2024270001,2024-01-27 09:15:22,B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Electronics,49.99,0.04,2.00,1,0,Direct,Credit Card,Prime,Delivered,None,49.99,0
CONV142,,USR10202,ORD2024270002,2024-01-27 11:30:45,B07FZ8S74R,Fire TV Stick 4K streaming device,Electronics,39.99,0.04,1.60,1,0,Direct,PayPal,Standard,Delivered,None,39.99,0
CONV143,,USR10203,ORD2024270003,2024-01-27 14:22:33,B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Kitchen,79.95,0.03,2.40,1,0,Direct,Credit Card,Express,Delivered,None,79.95,0
CONV144,,USR10204,ORD2024270004,2024-01-27 16:45:15,B07HGJKL12,Apple AirPods Pro (2nd Generation),Electronics,249.00,0.02,4.98,1,0,Direct,Apple Pay,Prime,Delivered,None,249.00,0
CONV145,,USR10205,ORD2024270005,2024-01-27 18:30:44,B09MNOP345,Ninja Foodi Personal Blender,Kitchen,79.99,0.03,2.40,1,0,Direct,Credit Card,Standard,Delivered,None,79.99,0
CONV146,CLK102,USR10102,ORD2024280001,2024-01-28 10:22:18,B07TUVW901,Fitbit Charge 5 Fitness Tracker,Health & Fitness,149.95,0.025,3.75,1,408.83,Returning,Debit Card,Prime,Delivered,None,299.90,1
CONV147,CLK104,USR10104,ORD2024280002,2024-01-28 12:45:33,B08ABC567,Keurig K-Mini Coffee Maker,Kitchen,59.99,0.03,1.80,1,409.33,Returning,Credit Card,Standard,Delivered,None,119.98,1
CONV148,CLK106,USR10106,ORD2024280003,2024-01-28 15:30:44,B09GHI123,Shark Navigator Lift-Away Vacuum,Home & Garden,179.99,0.025,4.50,1,410.20,Returning,PayPal,Standard,Delivered,None,359.98,1
CONV149,CLK108,USR10108,ORD2024280004,2024-01-28 17:15:22,B07MNO789,Cuisinart Air Fryer Toaster Oven,Kitchen,199.95,0.03,6.00,1,409.88,Returning,Credit Card,Express,Delivered,None,399.90,1
CONV150,CLK110,USR10110,ORD2024280005,2024-01-28 19:45:15,B08STU345,Dyson V8 Cordless Vacuum,Home & Garden,349.99,0.025,8.75,1,410.22,Returning,Credit Card,White Glove,Delivered,None,699.98,1
